name,symbol,market_cap,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
Kaspa,KAS,4136008740.0701404,0.16357230018164498,304654846.8084251,-0.18793303,4.63813371,10.03549751
Stacks,STX,3917382340.649081,2.605833623296898,667625635.6747491,-0.0688636,6.97987363,25.04975706
Cosmos,ATOM,3815137216.2121463,9.759026396708297,700715769.9495537,0.52929662,-0.12320728,23.78544615
Immutable,IMX,3682015636.2339797,2.172580696153192,260403630.17887345,0.94238338,5.13797009,27.58502543
Aave,AAVE,3662280544.612911,244.04390554072052,934415168.224804,1.15948731,5.41754516,26.44442087
MANTRA,OM,3653872162.5664644,3.909579384673306,285890712.63480175,0.6330187,10.39419598,6.68203031
Celestia,TIA,3631130510.6829214,8.263026351458967,709955227.5730727,0.43508972,5.60551528,2.12211988
Monero,XMR,3619235302.851444,196.1991389043884,245074331.7273489,0.22042627,13.46090545,28.95672169
OKB,OKB,3569178649.123718,59.486310818728626,33170019.39596702,-0.86510289,8.75756543,11.92218788
Fantom,FTM,3541975026.1338415,1.2633510545850277,1311015417.7504356,0.97677624,5.20234584,15.77938972
dogwifhat,WIF,3304630016.5950017,3.308451767640547,1127261237.7685552,0.09194577,5.0668313,9.95105775
Injective,INJ,3272869384.637923,33.11011577128533,440491902.2434724,0.67579465,2.20908154,12.53672659
Optimism,OP,3236369824.635604,2.5786358996114775,682376488.7896323,0.15283794,0.96068319,14.13534627
Mantle,MNT,3229302757.5353,0.959148970389253,179161683.281862,2.07008142,5.43263783,15.50404459
Bonk,BONK,3223856166.886085,4.269169573015672e-05,705317995.542473,0.81749189,-0.20345526,3.00068912
The Graph,GRT,3092019632.430036,0.32382148285964796,336025495.69157696,1.0776002,5.77637277,35.25277395
Theta Network,THETA,2960404054.9901867,2.9604040549901867,220013177.98266372,0.22839644,0.72751634,52.5985967
Sei,SEI,2733410058.892246,0.6862835173594982,1157584519.5530007,-0.79406948,3.98948834,3.73191471
Ondo,ONDO,2575226766.8016086,1.853001285186949,1053258922.237391,-2.60565078,14.6449378,81.221631
Ethena,ENA,2462838845.46038,0.8384132239865124,605036895.2261506,2.72224186,-0.89893852,37.01976985
Worldcoin,WLD,2427765245.2237363,3.3344775484607725,1108205473.7987695,-0.59037658,-0.85199676,42.59650062
THORChain,RUNE,2377730019.0580387,6.994560696957501,917870060.1106285,1.85070321,4.38995357,31.14715571
EOS,EOS,2310066004.3224497,1.508440412732191,2298379445.9569845,-0.13156289,31.54798592,92.83959762
Bitget Token,BGB,2276486516.3172145,1.626061797369439,53487223.52949908,-0.4901278,2.16680773,4.30952022
FLOKI,FLOKI,2206230706.266141,0.0002298762565669874,547295762.025516,-0.134655,1.16616531,6.68038082
IOTA,IOTA,2079288166.3712578,0.5880824111911752,2171611680.684459,0.26834652,19.83701974,166.75724153
Maker,MKR,2055228429.9116285,2316.8420992029683,392728460.51346916,1.44299542,7.57873534,30.81430009
Kaia,KAIA,2014868259.9687405,0.3423683017033666,465415237.72606236,0.84054507,-9.74947909,89.11457886
Pyth Network,PYTH,1975630670.6353183,0.5450032502242057,386556937.60706335,1.31410131,2.72996922,29.1133682
JasmyCoin,JASMY,1967908224.6649234,0.03984023155231425,1123498367.3303375,-0.90131433,9.78207151,66.91342155
Brett (Based),BRETT,1960427034.4775279,0.19781839265374335,115695061.91067557,0.21328925,-0.36541734,20.17251301
The Sandbox,SAND,1929348825.3145616,0.7938948730436078,1871578120.4875724,1.20125533,2.1366354,36.00520091
Gala,GALA,1925949475.0748255,0.05296839090124235,848347333.70683,0.72134917,7.83849166,48.55105961
First Digital USD,FDUSD,1870583495.8941298,0.9991675234851732,10732655974.846899,0.00531674,0.0761817,0.17186511
Flare,FLR,1853782689.675952,0.03504962102855899,74458272.61010201,1.45095453,-5.98576794,59.97773831
Lido DAO,LDO,1848769251.2598066,2.0639509579576094,486854497.4769794,0.07745905,7.57019696,19.98741675
Tezos,XTZ,1830650046.0660229,1.801077516534503,345182530.7857489,1.97655173,8.49045051,51.61685084
Flow,FLOW,1831154789.0536513,1.1831764111356569,336656924.87549657,0.21709937,2.76214068,38.46027637
Quant,QNT,1818725814.5114453,150.64733571717082,182811817.68415824,3.334796,9.96522115,64.20245022
Jupiter,JUP,1796598540.9353337,1.3308137340261732,499738632.99135447,1.21760078,10.36588331,29.40944421
Arweave,AR,1783719556.096562,27.169117396086264,459470062.97727495,-0.44201879,-0.56484597,36.44355972
Neo,NEO,1690806235.5056856,23.969864704813233,865006745.7514935,-0.95000898,23.08884683,70.33870493
BitTorrent [New],BTT,1672329021.0000277,1.7271729300031169e-06,222663293.75580654,0.18357613,19.46945224,38.62319302
Starknet,STRK,1658289100.2250667,0.733988868040472,345624188.0954123,0.76403296,1.14825249,22.4216262
Polygon,MATIC,1571476687.3056557,0.7134872210075773,46775890.36059523,-0.21559344,1.86245501,33.18241298
KuCoin Token,KCS,1562109515.424321,12.993143399423007,3535240.00920549,0.27347729,3.5014012,14.87553317
Bitcoin SV,BSV,1550449028.1253965,78.33485731556092,166509867.4246975,1.55909297,5.01371317,18.98158788
Helium,HNT,1536885336.9106073,9.015463805909112,60711338.82949065,1.19087681,2.85110519,48.08811714
MultiversX,EGLD,1516931729.8525453,54.92308093872221,196981185.30368266,1.64431778,11.23351581,51.99005243
