title,thumbnail,description,publishedAt,tags
Spotify playlists are being hijacked to promote pirated software and scams,https://static.foxnews.com/foxnews.com/content/uploads/2024/11/1-spotify-playlists-are-being-hijacked-to-promote-pirated-software-and-scams-intro.jpg,"Spammers have found a way to target Spotify playlists and podcasts to push pirated software, cheat codes for games and spam links and malware sites.",2024-11-28T15:00:53Z,['Prom']
Judge Rules Decentralized Autonomous Organizations Aren’t So Decentralized in the Eyes of the Law,https://gizmodo.com/app/uploads/2024/11/Bitcoin-price-on-a-computer-screen.jpg,Crypto's libertarian dreams continue to be thwarted by legal realities.,2024-11-19T23:10:33Z,['Ren']
Investors Appear to Think Bluesky Crypto Firm Is the Bluesky Social Network,https://gizmodo.com/app/uploads/2024/11/bluesky-investor-mistake.jpg,The social media platform Bluesky has grown from 12 million to more than 20 million users since the election.,2024-11-20T21:30:22Z,['DIA']
"If You Want a Picture of the Future, Imagine Justin Sun Eating a $6 Million Banana—Forever",https://gizmodo.com/app/uploads/2024/12/BananaDAO.jpg,Ignore the banana and focus on the money.,2024-12-02T19:35:47Z,"['JUST', 'MON']"
Nvidia may have found a new way to bypass GPU export restrictions,https://www.digitaltrends.com/wp-content/uploads/2022/10/12-pin.00_00_27_21.Still007.jpg?resize=1200%2C630&p=1,"Many expected the RTX 5090D to be a cut-down version of the 5090, but it seems that Nvidia may adopt a similar approach to the RTX 30-series.",2024-11-26T13:54:05Z,['DIA']
Everything coming to Netflix in December 2024,https://www.digitaltrends.com/wp-content/uploads/2024/11/squid-game-season-2_5d81ad.jpg?resize=1200%2C630&p=1,"Squid Game season 2, the spy show Black Doves, No Good Deed, and the thriller Carry-On are just some of the series and films coming to Netflix in December 2024.",2024-11-20T18:20:52Z,['JUST']
What the Men of the Internet Are Trying to Prove,https://cdn.theatlantic.com/thumbor/io5sWsMr78NvHwKpI3Z8oCL3HaM=/0x43:2000x1085/1200x625/media/img/mt/2024/11/paul_bros/original.jpg,Jake Paul is an emblem of a generation starving for purpose while gorging on spectacle.,2024-11-20T19:26:57Z,[]
The Trump Marathon,https://cdn.theatlantic.com/thumbor/H8EjJrCsb629GHpVYizOuXsPAZA=/0x75:5616x3000/1200x625/media/img/mt/2024/11/GettyImages_2181862302/original.jpg,"If Americans want to hold Trump accountable in a second term, they must keep their heads when he uses chaos as a strategy.",2024-11-25T23:31:00Z,[]
Trump nominates Bessent to lead US Treasury in flurry of announcements,https://ichef.bbci.co.uk/news/1024/branded_news/05b9/live/e0efc290-a928-11ef-a4fe-a3e9a6c5d640.jpg,"He also announces nominees for labour secretary, housing secretary and surgeon general.",2024-11-23T08:14:24Z,"['Mina', 'Secret']"
Nothing-up-my-sleeve number,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Poker_cheating_20170611.jpg/1200px-Poker_cheating_20170611.jpg,Comments,2024-11-18T13:10:48Z,[]
