id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
5049,VerusCoin,VRSC,veruscoin,14,2020-06-12T00:00:00.000Z,"['mineable', 'hybrid-pow-pos', 'defi', 'privacy', 'zero-knowledge-proofs', 'identity', 'interoperability', 'scaling', 'staking', 'amm']",83540184.0,77953891.83530337,77953891.83530337,False,,220,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 6.132392810104466, 'volume_24h': 26702.45642826, 'volume_change_24h': -49.2427, 'percent_change_1h': 0.35434734, 'percent_change_24h': -2.90184636, 'percent_change_7d': 23.20552616, 'percent_change_30d': 84.09246737, 'percent_change_60d': 70.26257212, 'percent_change_90d': 274.09686059, 'market_cap': 478043885.8104756, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 512301223.72, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
29256,Ondo US Dollar Yield,USDY,ondo-us-dollar-yield,37,2024-02-01T09:43:04.000Z,['stablecoin'],,415047264.92212015,423914957.9218864,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x96f6ef951840721adbf46ac996b59e0235cb985c'}",221,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 1.0709050451459128, 'volume_24h': 738760.53520185, 'volume_change_24h': 307.5778, 'percent_change_1h': -0.01224115, 'percent_change_24h': 0.2481292, 'percent_change_7d': 0.84060261, 'percent_change_30d': 0.85486381, 'percent_change_60d': 1.20381015, 'percent_change_90d': 1.57922374, 'market_cap': 444476209.9791107, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 453972667.15, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
29884,Destra Network,DSYNC,destra-network,30,2024-03-15T07:59:16.000Z,"['ai-big-data', 'ethereum-ecosystem', 'depin']",1000000000.0,969406527.794957,1000000000.0,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf94e7d0710709388bce3161c32b4eea56d3f91cc'}",222,938673423.0,420889316.177775,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.44838737932156736, 'volume_24h': 10818978.27833209, 'volume_change_24h': -2.7728, 'percent_change_1h': -0.29105149, 'percent_change_24h': -1.71971686, 'percent_change_7d': 36.80271855, 'percent_change_30d': 190.07012208, 'percent_change_60d': 155.57779649, 'percent_change_90d': 190.81610233, 'market_cap': 434669652.49520093, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 448387379.32, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
32193,Aleo,ALEO,aleo,34,2024-07-15T10:02:24.000Z,['zero-knowledge-proofs'],,268879841.216249,1610948276.216249,True,,223,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 1.5575425029052894, 'volume_24h': 29410143.8682847, 'volume_change_24h': 14.0216, 'percent_change_1h': 2.44922034, 'percent_change_24h': -5.60471351, 'percent_change_7d': 11.46393858, 'percent_change_30d': 25.30662708, 'percent_change_60d': -64.78930236, 'percent_change_90d': -55.93657564, 'market_cap': 418791780.8687332, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 2509120410.19, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
34026,ai16z,AI16Z,ai16z,26,2024-11-17T23:08:14.000Z,"['memes', 'solana-ecosystem', 'ai-memes', 'ai-agents']",1099999958.01,1099999380.426649,1099999380.426649,False,"{'id': 5426, 'name': 'Solana', 'symbol': 'SOL', 'slug': 'solana', 'token_address': 'HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC'}",224,1099999685.0,410425013.86055964,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.373113755810357, 'volume_24h': 15188498.02947723, 'volume_change_24h': -38.4965, 'percent_change_1h': 2.77572024, 'percent_change_24h': 6.95996979, 'percent_change_7d': 80.65278106, 'percent_change_30d': 12.53486432, 'percent_change_60d': 12.53486432, 'percent_change_90d': 12.53486432, 'market_cap': 410424900.2200527, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 410425115.72, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
11156,dYdX (ethDYDX),ETHDYDX,dydx-ethdydx,290,2021-08-03T00:00:00.000Z,"['cosmos-ecosystem', 'decentralized-exchange-dex-token', 'defi', 'derivatives', 'zero-knowledge-proofs', 'three-arrows-capital-portfolio', 'paradigm-portfolio', 'spartan-group']",,219598518.0517429,367714270.84802556,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x92d6c1e31e14520e676a687f0a93788b716beff5'}",225,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 1.8551593472486485, 'volume_24h': 109832477.16093002, 'volume_change_24h': 8.0299, 'percent_change_1h': 0.3988977, 'percent_change_24h': 1.98407277, 'percent_change_7d': 22.73001159, 'percent_change_30d': 105.95316317, 'percent_change_60d': 110.27457074, 'percent_change_90d': 112.42726775, 'market_cap': 407390243.4056419, 'market_cap_dominance': 0.0115, 'fully_diluted_market_cap': 682168566.68, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
32698,DOGS,DOGS,dogs,165,2024-08-26T12:00:00.000Z,"['memes', 'doggone-doggerel', 'telegram-bot', 'toncoin-ecosystem']",550000000000.0,516750000000.0,550000000000.0,False,"{'id': 11419, 'name': 'TON', 'symbol': 'TON', 'slug': 'toncoin', 'token_address': 'EQCvxJy4eG8hyHBFsZ7eePxrRsUQSFE_jpptRAYBmcG_DOGS'}",226,550000000000.0,422654383.6358253,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.0007684625157015005, 'volume_24h': 264426236.98759285, 'volume_change_24h': 26.9222, 'percent_change_1h': 1.79295803, 'percent_change_24h': 4.03470827, 'percent_change_7d': 9.95929847, 'percent_change_30d': 49.77233689, 'percent_change_60d': 9.70612789, 'percent_change_90d': -24.84695034, 'market_cap': 397103004.9887504, 'market_cap_dominance': 0.0112, 'fully_diluted_market_cap': 422654383.64, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
9543,Biconomy,BICO,biconomy,146,2021-12-01T10:12:17.000Z,"['platform', 'interoperability', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'fenbushi-capital-portfolio', 'mvb', 'dwf-labs-portfolio', 'account-abstraction']",,890402776.4527231,1000000000.0,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf17e65822b568b3903685a7c9f496cf7656cc6c2'}",227,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.44188954471096176, 'volume_24h': 58069222.78333192, 'volume_change_24h': 77.0247, 'percent_change_1h': -0.05621219, 'percent_change_24h': 6.23911065, 'percent_change_7d': 25.32054846, 'percent_change_30d': 85.36832045, 'percent_change_60d': 109.75674571, 'percent_change_90d': 115.62445242, 'market_cap': 393459677.4960701, 'market_cap_dominance': 0.0111, 'fully_diluted_market_cap': 441889544.71, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
10407,Baby Doge Coin,BabyDoge,baby-doge-coin,207,2021-06-11T00:00:00.000Z,"['marketing', 'art', 'marketplace', 'media', 'philanthropy', 'services', 'collectibles-nfts', 'loyalty', 'content-creation', 'gaming', 'memes', 'payments', 'ethereum-ecosystem', 'binance-smart-chain', 'solana-ecosystem', 'doggone-doggerel', 'web3', 'bnb-chain', 'generative-ai', 'tap-to-earn']",,1.6018226961784906e+17,2.0263881010218467e+17,False,"{'id': 1839, 'name': 'BNB Smart Chain (BEP20)', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': '0xc748673057861a797275cd8a068abb95a902e8de'}",228,1.5320710989166525e+17,371413302.97147167,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 2.424256310520464e-09, 'volume_24h': 82715017.78684762, 'volume_change_24h': 31.871, 'percent_change_1h': -0.61602799, 'percent_change_24h': 1.64174686, 'percent_change_7d': 4.70558546, 'percent_change_30d': 16.57359976, 'percent_change_60d': 23.46469536, 'percent_change_90d': 162.5272631, 'market_cap': 388322877.954561, 'market_cap_dominance': 0.011, 'fully_diluted_market_cap': 491248414.15, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
20362,Polymesh,POLYX,polymesh,93,2022-05-30T12:38:57.000Z,['real-world-assets'],,911794311.80505,1112047067.863888,True,,229,521874157.075662,221826658.3796285,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.4250577564956292, 'volume_24h': 134685911.62895718, 'volume_change_24h': 26.8108, 'percent_change_1h': -0.96686067, 'percent_change_24h': 3.22639055, 'percent_change_7d': 16.58252289, 'percent_change_30d': 109.31828302, 'percent_change_60d': 81.59160234, 'percent_change_90d': 107.30824576, 'market_cap': 387565244.5613308, 'market_cap_dominance': 0.011, 'fully_diluted_market_cap': 472684231.78, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
