title,thumbnail,description,publishedAt,tags
"Stock market today: Indexes drop as tech shares slide before Apple, Amazon earnings",https://i.insider.com/6723844aa0a0cc14f225316b?width=1200&format=jpeg,Indexes fell for a second day on Thursday as investors reacted to the latest tech earnings and digested the Fed's preferred inflation gauge.,2024-10-31T13:40:20Z,[]
Marc Andreessen and Ben Horowitz each donated $2.5 million to a pro-Donald Trump super PAC,https://i.insider.com/670f0c2ca70318649282aa6a?width=1200&format=jpeg,"Marc Andreessen and Ben Horowitz each donated $2.5 million to ""Right for America,"" a pro-Donald Trump super PAC, according to FEC filings.",2024-10-16T02:40:02Z,[]
Stock market today: Tech rally leads stocks higher as oil prices plunge and earnings kick off,https://i.insider.com/67058c9f3f2165d716df5b64?width=1200&format=jpeg,The market rebounded from Monday's losing session as oil prices plunged 4% and tech stocks gained ground.,2024-10-08T20:12:25Z,[]
Stock market today: S&P 500 snaps 3-day losing streak as Tesla surges 22%,https://i.insider.com/671a9caba0a0cc14f223b618?width=1200&format=jpeg,The S&P 500 ended higher for the first time this week as Tesla surged 21% after posting a strong earnings beat.,2024-10-24T20:15:16Z,[]
Stock market today: US stocks close at all-time highs ahead of key inflation update,https://i.insider.com/6706e1f7a70318649280a65f?width=800&format=jpeg,"The Dow and the S&P 500 closed at a record high. Markets are waiting for September inflation data, a key data point ahead of the Fed's next move.",2024-10-09T20:13:30Z,[]
Stock market today: Indexes close lower after CPI shows sticky inflation in September,https://i.insider.com/670831903f2165d716e00609?width=1200&format=jpeg,"Indexes slipped Thursday as investors took in higher-than-expected inflation. The latest data has sparked talk of a ""no landing"" for the US economy.",2024-10-10T20:06:52Z,[]
Company executives are speaking out on Election Day: Starbucks' Howard Schultz calls for a peaceful transition of power,https://i.insider.com/672a54c1192f5258985629c6?width=1200&format=jpeg,"Business leaders including Howard Schultz, Elon Musk, and Reid Hoffman weigh in on Election Day for Donald Trump, Kamala Harris — or simply peace.",2024-11-05T22:01:56Z,[]
"The Dow Jones jumps over 1,300 points after Trump wins the election",https://npr.brightspotcdn.com/dims3/default/strip/false/crop/5820x3274+0+303/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F53%2Fe9%2F39a613124ecfbda25ebf7c7c4c60%2Fgettyimages-2180258125.jpg,"Wall Street, crypto investors, and shareholders in Trump Media are all cheering the election results.",2024-11-06T15:12:28Z,[]
"In outreach to Black men, Harris to vow to legalize weed, protect crypto",https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4872x2741+0+273/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fae%2Fd7%2F5141507249aeba6bdf663d6aef32%2Fgettyimages-2177417560.jpg,Polls show that some Black men may be gravitating toward former President Trump or not vote at all. Vice President Harris and other prominent Democrats are trying to counter that.,2024-10-14T09:00:00Z,[]
The FBI Secretly Created a Coin To Investigate Crypto Pump-and-Dump Schemes,https://a.fsdn.com/sd/topics/crime_64.png,"The FBI created a cryptocurrency as part of an investigation into price manipulation in crypto markets, the government revealed on Wednesday. From a report: The FBI's Ethereum-based token, NexFundAI, was created with the help of ""cooperating witnesses."" As a …",2024-10-10T20:42:00Z,['Ethereum']
Crypto Firm Consensys To Cut 20% of Workforce Amid Regulatory Headwinds,https://a.fsdn.com/sd/topics/business_64.png,"Cryptocurrency firm Consensys said on Tuesday it would cut 20% of its total workforce, citing broader macroeconomic pressures and ongoing regulatory challenges facing the industry. From a report: The decision will impact 162 of a total of 828 employees at the…",2024-10-29T19:22:00Z,[]
Trump's Coin Sale Misses Early Targets As Crypto Project's Website Crashes,https://a.fsdn.com/sd/topics/bitcoin_64.png,"Donald Trump's new crypto project, World Liberty Financial, had a rocky start today with frequent website outages during its token sale. According to CNBC, only about 4% of registered investors have bought tokens, and the project sold less than 3% of the 20 b…",2024-10-16T00:10:00Z,[]
"A Fourth FTX Executive Sentenced: Forfeits $11 Billion, But No Prison Time",https://a.fsdn.com/sd/topics/crime_64.png,"Former FTX executive Nishad Singh was ordered to forfeit $11 billion, reports CNBC — and is subject to three years of supervised release, making him ""the fourth ex-employee of the collapsed crypto exchange to be punished."" 

But while he'd faced a maximum sen…",2024-11-02T20:44:00Z,[]
Goodreads' Founder Debuts AI-Powered App For Online Readers,https://a.fsdn.com/sd/topics/ai_64.png,"An anonymous reader quotes a report from TechCrunch: Smashing, a new app curating the best of the web from Goodreads co-founder Otis Chandler, is now available to the public. Like Goodreads, the app aims to create a community around content. But this time, in…",2024-10-24T23:40:00Z,[]
"What mattered more to Trump: Musk's money, or Musk's platform?",https://i.insider.com/672a9c12192f525898565868?width=1200&format=jpeg,The world's richest man spent at least $130 million on Trump's campaign. He also seemed to steer Twitter toward Trump. Which mattered more?,2024-11-06T16:47:10Z,[]
Silicon Valley is officially grieving over Trump but quietly gleeful over a possible tech deal resurgence,https://i.insider.com/672bc5db88cea3ba1c1ec1af?width=1200&format=jpeg,"As Trump's win stirs uncertainty in Silicon Valley, tech investors weigh regulatory shifts, a changing M&A market, while pondering the future of antitrust policies under his administration.",2024-11-06T21:49:59Z,[]
The head of Cubist's centralized high-speed trading unit is out after less than a year,https://i.insider.com/67114a2201ea6d83dee1e821?width=1200&format=jpeg,"Vibhav Bukkapatanam was a marquee hire focused on high-frequency trading. He joined Cubist, the quant arm of Point72, from Citadel Securities.",2024-10-17T20:31:57Z,[]
Former FTX exec starts prison sentence with LinkedIn post about a 'new position',https://i.insider.com/67085455a703186492811467?width=1200&format=jpeg,"Former FTX executive Ryan Salame prepared to start his 7 ½ prison sentence by posting about his ""new position"" on LinkedIn this week.",2024-10-10T23:39:03Z,[]
Venture capital is going to war over the election. Here's the data to prove it.,https://i.insider.com/67118197fd8ede6c99e399cc?width=1200&format=jpeg,Data from the Federal Elections Commission shows how workers at venture capital firms are donating to political campaigns this election.,2024-10-19T09:00:01Z,[]
Diddy hit with a fresh set of sex assault allegations as a new wave of lawsuits kicks off,https://i.insider.com/6706ed2b198738e3a70f7f76?width=1024&format=jpeg,The new accusations against Sean 'Diddy' Combs are part of a wave of more than 100 lawsuits attorney Tony Buzbee said will come over the next month.,2024-10-14T18:55:19Z,[]
"Volatility, higher rates, and surging bitcoin. Here's what analysts are saying about Trump's victory.",https://i.insider.com/670f5459a70318649282ad0f?width=1200&format=jpeg,"The economic impact of a second term for Donald Trump is likely to be volatile, with public spending set to remain high, one commentator wrote.",2024-11-06T12:12:26Z,['Bitcoin']
