name,symbol,market_cap,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
Cronos,CRO,4881271424.323038,0.1837028498313932,67744147.50826348,-1.30412274,0.81452821,6.91464899
Ethereum Classic,ETC,4606693030.84687,30.774372569012925,1014486202.9413515,-2.95997073,11.42410123,15.92970076
POL (ex-MATIC),POL,4534323607.400584,0.5686648840971897,679467742.9718254,-2.89343191,6.92000542,22.05503772
Render,RENDER,3994421804.0914025,7.715845376753578,1093905107.4779198,-3.5080951,4.23017954,-1.67083829
Kaspa,KAS,3778967345.853159,0.14980257920832357,198349484.29947808,-2.14684224,1.11688524,-10.38246753
Bittensor,TAO,3757627426.9090114,509.0990393236049,284731901.9216594,-3.44692634,2.60830352,-1.13086112
Arbitrum,ARB,3708601522.069106,0.9051198058520683,1340936715.8464527,-3.27415432,11.57979312,26.14364832
Artificial Superintelligence Alliance,FET,3511326308.1836567,1.4418928027416742,662673258.8940232,-4.08057985,-1.84449212,7.68660507
Celestia,TIA,3397868196.9501004,7.9059748623495585,1008282179.7947516,-1.78626867,4.12881582,44.75563749
VeChain,VET,3376070796.7067595,0.0416875851100459,155366876.02198797,-1.77058192,4.05453911,26.25066611
Bonk,BONK,3356144865.88635,4.46658980805829e-05,1105725687.0287209,-2.30981488,0.96831823,-8.61232547
Filecoin,FIL,3336578481.542829,5.541356194778988,782084886.2270764,-0.90771584,4.097104,23.46280333
Stacks,STX,3247997422.1943617,2.162158963753595,784672352.2682331,-1.63973116,12.20812582,12.33167968
OKB,OKB,3229217266.1658263,53.820287769430436,14534853.88073366,1.38854178,1.80725254,21.86151294
dogwifhat,WIF,3213142596.4963036,3.2168584936591595,1373111174.6340983,-3.34761493,4.68821915,-7.92505857
MANTRA,OM,3209993364.951989,3.555419026957246,87089440.40884686,-2.15712216,-2.53964015,-11.56294041
Cosmos,ATOM,3150556566.4614544,8.059045573974526,494475619.2916968,-2.86389276,-1.11318221,25.71360422
Monero,XMR,2979617005.9773774,161.52536155277136,78343633.51691833,-0.99805174,0.76621177,3.01125014
Mantle,MNT,2871840480.2105613,0.8529775764408264,129717620.0860914,-2.118229,4.63679777,16.96590542
Optimism,OP,2890770613.4972234,2.303273508720574,820851353.1891643,-2.39061822,10.76061565,30.5307322
Immutable,IMX,2835799534.5313945,1.6978307502832464,189305017.25367767,-2.71288027,7.30971411,22.51471685
Injective,INJ,2766138819.6365733,27.98375547386709,337547177.47052896,-3.68113006,6.7054688,9.14409775
Aave,AAVE,2701272941.937255,180.27246087946793,496595381.28260386,-3.37887444,9.51490497,6.91214637
Fantom,FTM,2655088282.6678634,0.947016440594758,943543599.0955975,-3.89103252,1.75052211,31.55460218
Sei,SEI,2557493016.5304723,0.6018220649234818,1726184016.3942695,-3.09630661,3.7123646,15.74108086
The Graph,GRT,2374080078.2447286,0.24863300455843804,221668103.8941207,-2.63076476,6.9589621,14.35013819
Bitget Token,BGB,2296616959.155499,1.6404406851110707,111965636.77006815,-0.12456542,4.46119261,19.75590711
FLOKI,FLOKI,2211954530.165143,0.0002302969396643234,450044461.5867908,-2.38556526,-0.18252778,-9.11465883
Algorand,ALGO,2202863338.9750843,0.26604492068552,383667382.7268268,-2.30358194,1.04122075,22.86564897
First Digital USD,FDUSD,2144129782.1577222,0.9974650810395296,9425453573.783495,0.13546104,-0.12956159,-0.16326114
Theta Network,THETA,1875690744.479546,1.875690744479546,88720129.5816033,-2.18031359,6.81736377,10.12982648
THORChain,RUNE,1860194785.7043335,5.482224699220676,555482230.0034357,-2.61082165,1.95780986,1.6025133
Ethena,ENA,1786969415.949618,0.6287303057766661,430053390.3798556,-4.17165246,-0.73104235,5.57538031
The Sandbox,SAND,1753358917.2631552,0.7259587590882486,5000156383.378181,-4.59341645,30.28744502,100.95074181
Worldcoin,WLD,1698311106.1633558,2.4585383568847603,1036648525.9329034,-3.59908098,4.28129135,3.78663441
Maker,MKR,1698036847.3355608,1918.0038004216633,259339251.59765974,-2.29107347,13.47007788,25.17906687
Raydium,RAY,1692687516.6121597,5.818417663339358,121602560.11133584,-1.88272403,0.229378,3.82526895
Brett (Based),BRETT,1647947195.9800577,0.16628737502280921,92844754.01707092,-1.94697668,8.54521146,1.20182924
